question,answer,explanation,evidence_KG,hop,target_protein_id,interaction_count
"A complex containing HIF1A, TCEB2, and CUL2 (the VCB complex) targets HIF1A for ubiquitination and degradation under normoxia. In a cell line with a mutation in TCEB2 that prevents its binding to CUL2, and overexpression of HIF1A that lacks the oxygen-dependent degradation domain, what is the likely outcome for HIF1A stability and activity?",HIF1A remains stable and transcriptionally active,"1. Normally, the VCB complex (VHL-TCEB2-CUL2) ubiquitinates HIF1A for degradation under normoxia. 2. The TCEB2 mutation prevents VCB complex formation, disrupting ubiquitination. 3. Overexpressed HIF1A lacks the degradation domain (ODD), making it insensitive to VHL-mediated degradation. 4. Without degradation, HIF1A accumulates and activates transcription of hypoxia-responsive genes.","[""(VCB_complex, ubiquitinates, HIF1A)"", ""(TCEB2_mutant, prevents_binding, CUL2)"", ""(HIF1A_overexpressed, lacks, ODD_domain)"", ""(HIF1A, activates_transcription, hypoxia_genes)""]",4,uniprotkb:Q9GZT9,23
"In a cell line expressing EGFR (P00533), HSP90 (P07900), and EGF (P01133), an experiment uses an EGFR kinase inhibitor (Gefitinib) and a dominant-negative HSP90 mutant that cannot bind client proteins. When both interventions are applied simultaneously, the EGFR signaling cascade (measured by phosphorylation of downstream adaptors) is completely abolished. However, if only the HSP90 mutant is expressed, some residual signaling remains. What does this reveal about the roles of HSP90 and EGFR kinase activity in EGFR stability and function?",HSP90 stabilizes EGFR but kinase activity is essential for signaling output,"1. EGFR requires kinase activity to phosphorylate downstream targets and propagate signals. 2. HSP90 acts as a chaperone to stabilize EGFR, preventing its degradation. 3. Gefitinib inhibits EGFR kinase activity, blocking signaling regardless of stability. 4. The dominant-negative HSP90 mutant impairs EGFR stability but does not directly inhibit kinase function. 5. When HSP90 is impaired alone, unstable EGFR retains partial kinase activity, allowing residual signaling. 6. Combining both interventions removes both stability and kinase function, abolishing signaling completely. This shows HSP90 stabilizes EGFR but cannot compensate for loss of kinase activity.","[""(EGFR, has_function, kinase_activity)"", ""(HSP90, chaperones, EGFR)"", ""(Gefitinib, inhibits, EGFR_kinase_activity)"", ""(HSP90_dominant_negative_mutant, impairs, EGFR_stability)"", ""(EGFR_phosphorylation, activates, downstream_adaptors)""]",5,reactome:R-ALL-1169429,23
"Protein complex formation requires subunits encoded by P04626 (ErbB2), Q96RT1 (FAM83A), Q16543 (FAM83B), and P07900 (HSP90AB1). In a cell where HSP90AB1 is inhibited by a drug, but ErbB2 is overexpressed, what is the most likely outcome for the complex's stability and signaling activity, and why?",Complex instability and reduced signaling despite ErbB2 overexpression,"1. HSP90AB1 (P07900) is a chaperone required for the folding/stability of client proteins like ErbB2 (P04626). 2. FAM83A (Q96RT1) and FAM83B (Q16543) are scaffolding proteins that likely depend on HSP90AB1 for proper assembly. 3. Inhibiting HSP90AB1 disrupts its chaperone function, leading to misfolding or degradation of ErbB2 and other subunits. 4. Overexpression of ErbB2 alone cannot compensate because the complex requires functional HSP90AB1 to assemble properly (AND-gate constraint). 5. Thus, even with excess ErbB2, the complex fails to form stably, resulting in reduced signaling.","[""(HSP90AB1, chaperones, ErbB2)"", ""(HSP90AB1, chaperones, FAM83A)"", ""(HSP90AB1, chaperones, FAM83B)"", ""(ErbB2, interacts_with, FAM83A)"", ""(ErbB2, interacts_with, FAM83B)"", ""(HSP90AB1_inhibitor, blocks, HSP90AB1_function)"", ""(ErbB2_overexpression, increases, ErbB2_level)""]",6,reactome:R-ALL-9665971,23
"Protein P15502 (Elastin) forms a complex with Fibulin-4 (Q9UBX5) and Fibulin-5 (P55001), which is essential for elastic fiber assembly. A mutation in Fibulin-5 disrupts its binding to P15502, but Fibulin-4 remains intact and functional. If Fibulin-4 and Fibulin-5 normally act as an AND-gate for elastic fiber formation, what is the expected outcome on fiber assembly, and why?",Failure of fiber assembly,"1. P15502 (Elastin) requires both Fibulin-4 and Fibulin-5 to form a functional complex for elastic fiber assembly. 2. Fibulin-5 mutation disrupts its binding to P15502, making it non-functional in the complex. 3. Since Fibulin-4 and Fibulin-5 act as an AND-gate, the loss of one subunit (Fibulin-5) prevents the complex from forming or functioning. 4. Even though Fibulin-4 is intact, the AND-gate logic dictates that both partners are necessary. 5. Therefore, elastic fiber assembly fails due to the missing Fibulin-5 contribution.","[""(P15502, interacts_with, Q9UBX5)"", ""(P15502, interacts_with, P55001)"", ""(Fibulin-4_and_Fibulin-5, form_AND-gate_complex_with, P15502)"", ""(Fibulin-5_mutant, disrupts_binding_to, P15502)""]",4,uniprotkb:P15502,23
"Protein uniprotkb:P35556 (Elastin) is cleaved by MMP-2 (uniprotkb:P08253) and MMP-9 (uniprotkb:P14778) to produce elastin-derived peptides (EDPs), which bind to the elastin receptor complex (ERC) containing uniprotkb:P28300 (Splice Isoform 2 of EBP) and uniprotkb:Q08397 (Neuraminidase 1). If a mutation in uniprotkb:Q08397 prevents its interaction with EDPs, but MMP-2 and MMP-9 are overexpressed and actively cleaving elastin, what is the most likely effect on ERC-mediated signaling, and why?",No ERC Signaling,"1. MMP-2 and MMP-9 cleave elastin (P35556) to generate EDPs. 2. EDPs bind to the ERC, which requires both EBP (P28300) and Neuraminidase 1 (Q08397) for signaling. 3. Overexpression of MMP-2/MMP-9 ensures ample EDP production. 4. However, the mutation in Neuraminidase 1 (Q08397) disrupts its ability to bind EDPs. 5. Without Neuraminidase 1 binding, the ERC cannot form a functional signaling complex (Bottleneck AND-gate constraint). 6. Thus, despite high EDP availability, ERC signaling fails due to the defective Neuraminidase 1 subunit.","[""(MMP-2, cleaves, Elastin)"", ""(MMP-9, cleaves, Elastin)"", ""(Elastin, produces, EDPs)"", ""(EDPs, bind, ERC)"", ""(ERC, composed_of, EBP)"", ""(ERC, composed_of, Neuraminidase_1)"", ""(Neuraminidase_1_mutant, disrupts, EDP_binding)""]",7,uniprotkb:P35556,23
"Protein P51151 (RhoGDI) binds to GDP-bound forms of Rho GTPases (e.g., RhoA, Rac1, Cdc42) to sequester them in the cytoplasm. In a cell expressing a constitutively active RhoA mutant (GTP-bound) and a dominant-negative RhoGDI mutant that cannot bind Rho GTPases, what is the predicted outcome on actin cytoskeleton dynamics, and why?",Excessive actin polymerization and cytoskeletal instability,"1. RhoGDI (P51151) normally sequesters inactive GDP-bound Rho GTPases (like RhoA) in the cytoplasm, preventing their activation. 2. A constitutively active RhoA mutant remains in the GTP-bound state and promotes actin polymerization. 3. Dominant-negative RhoGDI cannot bind or sequester any Rho GTPases. 4. Without functional RhoGDI, even wild-type Rho GTPases are freely available for activation. 5. The constitutively active RhoA escapes sequestration and persistently signals actin polymerization. 6. Loss of RhoGDI-mediated regulation leads to uncontrolled and excessive actin remodeling, causing cytoskeletal instability.","[""(RhoGDI, sequesters, GDP-bound_Rho_GTPases)"", ""(RhoA_GTP_mutant, constitutively_active, actin_polymerization)"", ""(RhoGDI_dominant_negative, cannot_bind, Rho_GTPases)"", ""(Unsequestered_Rho_GTPases, promote, actin_cytoskeleton_remodeling)""]",4,uniprotkb:P51151,23
"A cell expresses GLB1 (P17900), beta-Galactosidase (P16278), Hexosaminidase (P06865), and beta-Hexosaminidase complex (P07686). GLB1 normally cleaves GM1 ganglioside into GM2 ganglioside. In a mutation where beta-Galactosidase is defective, but GM1 ganglioside accumulates. Overexpression of GLB1 fails to reduce the accumulation. What does this imply about the position of GLB1 relative to beta-Galactosidase in the degradation pathway, and why?",GLB1 acts downstream of beta-Galactosidase and cannot bypass its defect,"1. GM1 ganglioside is normally degraded by beta-Galactosidase (P16278) to GM2 ganglioside. 2. GM2 ganglioside is then cleaved by GLB1 (P17900) to GM3 ganglioside. 3. A mutation in beta-Galactosidase prevents the conversion of GM1 to GM2, causing GM1 accumulation. 4. Overexpression of GLB1 cannot act on GM1 directly, as GLB1 requires GM2 as its substrate. 5. Since beta-Galactosidase is defective, GM2 is not produced, leaving GLB1 without substrate. 6. Therefore, GLB1 overexpression fails to reduce GM1 accumulation, placing it downstream and dependent on beta-Galactosidase activity.","[""(beta-Galactosidase, cleaves, GM1_ganglioside)"", ""(GM1_ganglioside, converted_to, GM2_ganglioside)"", ""(GLB1, cleaves, GM2_ganglioside)"", ""(GM2_ganglioside, converted_to, GM3_ganglioside)"", ""(beta-Galactosidase_mutant, blocks, GM1_to_GM2_conversion)"", ""(GLB1_overexpression, cannot_bypass, beta-Galactosidase_defect)""]",6,uniprotkb:P17900,23
"In a neuronal model system, overexpression of constitutively active ADCY7 restores PKA activity despite a drug (Drug-Y) blocking PAC1–Gs interaction. However, introducing a mutant form of Gs that cannot bind to ADCY7 prevents this rescue. What does this reveal about the signaling requirements for ADCY7 activation?","ADCY7 requires direct activation by Gs, even when constitutively active mutants are used","1. PAC1 activates Gs, which then binds and activates ADCY7. 2. ADCY7 produces cAMP, leading to PKA activation. 3. Drug-Y blocks PAC1–Gs interaction, preventing Gs activation. 4. Constitutively active ADCY7 bypasses the need for upstream PAC1 activation but still requires Gs binding. 5. The Gs mutant cannot bind ADCY7, disrupting the essential interaction. 6. Therefore, ADCY7 activation depends on physical interaction with Gs, regardless of its constitutive activity.","[""(PAC1, interacts_with, Gs)"", ""(Gs, activates, ADCY7)"", ""(ADCY7, produces, cAMP)"", ""(cAMP, activates, PKA)"", ""(Drug-Y, blocks, PAC1–Gs_interaction)"", ""(Gs_mutant, cannot_bind, ADCY7)"", ""(ADCY7_active_mutant, requires, Gs_binding)""]",7,uniprotkb:Q13003,23
"The NOTCH1 protein (A6NI15) forms a complex with DLL4 (Q06330) and MAML2 (Q9BYE0) to activate transcription. In a cell expressing wild-type NOTCH1, DLL4, and MAML2, a mutation in MAML2 prevents its interaction with NOTCH1. However, a separate experiment shows that overexpression of DLL4 can rescue signaling even with the MAML2 mutation. What is the likely functional relationship between DLL4 and MAML2 in this complex, and why does DLL4 overexpression rescue?",DLL4 acts upstream of MAML2 and can compensate for MAML2's absence by stabilizing NOTCH1 activation,"1. NOTCH1 requires both DLL4 (ligand) and MAML2 (co-activator) for full transcriptional activation. 2. The MAML2 mutation disrupts its interaction with NOTCH1, impairing complex function. 3. Overexpression of DLL4 increases ligand binding to NOTCH1. 4. Enhanced DLL4 binding stabilizes the active conformation of NOTCH1, allowing partial transcriptional activation even without MAML2. 5. This indicates that DLL4's role (ligand engagement) is upstream and partially independent of MAML2's co-activator function, providing compensatory stabilization.","[""(DLL4, binds, NOTCH1)"", ""(NOTCH1, interacts_with, MAML2)"", ""(NOTCH1–DLL4–MAML2_complex, activates, transcription)"", ""(MAML2_mutant, disrupts_interaction, NOTCH1)"", ""(DLL4_overexpression, enhances, NOTCH1_activation)""]",5,uniprotkb:A6NI15,23
"Protein O95456 (TMED1) forms a complex with Q969U7 (TMED9) and Q9Y244 (TMED10) to facilitate cargo transport in the ER-Golgi intermediate compartment. In a cell where TMED9 is knocked out but TMED10 is overexpressed, and TMED1 carries a mutation that disrupts its interaction with TMED10, what is the net effect on COPII-mediated vesicle budding? Explain using the logic of complex formation constraints.",COPII budding fails,"1. TMED1, TMED9, and TMED10 form a trimeric complex essential for COPII vesicle budding at the ER-Golgi interface. 2. TMED1 mutation disrupts its interaction with TMED10, preventing trimer assembly. 3. Overexpression of TMED10 cannot compensate for the disrupted TMED1-TMED10 interaction. 4. TMED9 knockout removes another required subunit. 5. The complex fails to form due to both the mutation (dominant-negative effect on trimerization) and the knockout (loss of essential component). 6. Without a functional complex, COPII vesicle budding is impaired.","[""(TMED1, forms_complex_with, TMED9)"", ""(TMED1, forms_complex_with, TMED10)"", ""(TMED9, forms_complex_with, TMED10)"", ""(TMED1-TMED9-TMED10_complex, required_for, COPII_vesicle_budding)"", ""(TMED1_mutant, disrupts_interaction_with, TMED10)"", ""(TMED9_knockout, removes, TMED9)"", ""(TMED10_overexpression, cannot_compensate, disrupted_complex)""]",7,uniprotkb:O95456,23
"The protein BCL2L1 (Q969U7) forms heterodimers with BCL2 (Q9Y244) and BIM (O95456) to regulate apoptosis. In a cell line with normal expression of all proteins, overexpression of a BIM mutant that cannot bind BCL2L1 but retains binding to BCL2 is combined with a loss-of-function mutation in BCL2L1 that prevents its dimerization with BCL2. What is the net effect on apoptosis, and why?",Apoptosis Promotion,"1. BCL2L1 (anti-apoptotic) normally dimerizes with both BCL2 (anti-apoptotic) and BIM (pro-apoptotic). 2. The BIM mutant cannot bind BCL2L1, freeing BIM to promote apoptosis. 3. The BCL2L1 mutation prevents dimerization with BCL2, leaving BCL2 unable to inhibit BIM. 4. Without BCL2L1-mediated inhibition, BIM's pro-apoptotic activity dominates, promoting apoptosis.","[""(BCL2L1, dimerizes_with, BCL2)"", ""(BCL2L1, dimerizes_with, BIM)"", ""(BCL2, anti-apoptotic)"", ""(BIM, pro-apoptotic)"", ""(BIM_mutant, cannot_bind, BCL2L1)"", ""(BCL2L1_mutant, cannot_dimerize_with, BCL2)""]",6,uniprotkb:Q969U7,23
"Insulin-like Growth Factor Binding Protein 3 (IGFBP3, P35858) binds IGF1 (P01344) and IGF2 (P01344) to modulate their bioavailability. IGF1 receptor (IGF1R, P08069) signals through IRS1 (P35568) to activate PI3K and MAPK pathways. In an experiment, IGFBP3 is overexpressed in a cell line expressing IGF1R and IRS1, and IGF1 is added. Despite IGFBP3 overexpression, phosphorylation of IRS1 is observed. What does this indicate about the mechanism of IGFBP3 action, and why is IRS1 phosphorylation still occurring?",IGFBP3 sequesters IGF1 but does not block IGF1R activation when IGF1 is present in excess,"1. IGFBP3 binds IGF1, limiting its bioavailability and access to IGF1R. 2. Overexpression of IGFBP3 should increase sequestration of IGF1, reducing IGF1R activation. 3. However, if sufficient IGF1 is added, it saturates IGFBP3 binding capacity. 4. Free IGF1 remains available to bind and activate IGF1R. 5. IGF1R activation leads to phosphorylation of IRS1. 6. Therefore, IRS1 phosphorylation occurs because excess IGF1 overcomes the sequestration effect of IGFBP3.","[""(IGFBP3, binds, IGF1)"", ""(IGF1, activates, IGF1R)"", ""(IGF1R, phosphorylates, IRS1)"", ""(IGFBP3_overexpression, increases_sequestration, IGF1)"", ""(Excess_IGF1, saturates, IGFBP3)"", ""(Free_IGF1, activates, IGF1R)""]",6,uniprotkb:P35858,23
"In a signaling pathway, the protein Smad4 (Q9NZH6) forms a complex with Smad2 (O95998) and Smad3 (Q13478) upon TGF-beta stimulation. If Smad2 carries a mutation that prevents its phosphorylation by the TGF-beta receptor, but Smad3 is normally phosphorylated, what is the outcome for nuclear translocation of Smad4, and why?",No nuclear translocation,"1. TGF-beta receptor phosphorylates Smad2 and Smad3. 2. Phosphorylated Smad2 and Smad3 form a heterotrimeric complex with Smad4. 3. This complex translocates to the nucleus to regulate transcription. 4. The Smad2 mutation prevents its phosphorylation, so it cannot form the complex. 5. Smad3 phosphorylation alone is insufficient; the complex requires both Smad2 and Smad3 (AND-gate logic). 6. Without functional Smad2, the complex fails to form, and Smad4 remains cytoplasmic.","[""(TGF_beta_receptor, phosphorylates, Smad2)"", ""(TGF_beta_receptor, phosphorylates, Smad3)"", ""(Smad2_phosphorylated, binds, Smad4)"", ""(Smad3_phosphorylated, binds, Smad4)"", ""(Smad2_mutant, cannot_be_phosphorylated, TGF_beta_receptor)"", ""(Smad4_complex, requires, Smad2_phosphorylated AND Smad3_phosphorylated)""]",6,uniprotkb:Q9NZH6,23
"Protein Q9GZX6 (TYK2) forms part of the IFNα receptor complex with IFNAR1 and IFNAR2. The complex activates JAK1 and TYK2 kinases, leading to STAT phosphorylation. In cells expressing IFNAR1 with a mutation that disrupts TYK2 binding, but STAT1 carries a gain-of-function mutation that mimics phosphorylation, what is the likely outcome for interferon signaling, and why?",Signaling is restored despite upstream disruption,"1. The IFNα receptor complex requires IFNAR1, IFNAR2, and associated kinases (JAK1 and TYK2). 2. TYK2 binds IFNAR1 and is activated upon ligand engagement. 3. A mutation in IFNAR1 disrupting TYK2 binding would prevent TYK2 activation and downstream STAT phosphorylation. 4. However, a STAT1 gain-of-function mutation mimics phosphorylation, bypassing the need for kinase activity. 5. Since the downstream effector (STAT1) is constitutively active, signaling proceeds despite upstream disruption. This is an example of epistasis where the downstream mutation overrides the upstream defect.","[""(IFNα, binds, IFNAR1)"", ""(IFNα, binds, IFNAR2)"", ""(IFNAR1, interacts_with, TYK2)"", ""(IFNAR2, interacts_with, JAK1)"", ""(TYK2, phosphorylates, STAT1)"", ""(JAK1, phosphorylates, STAT1)"", ""(Phosphorylated_STAT1, dimerizes, STAT2)"", ""(IFNAR1_mutant, disrupts, TYK2_binding)"", ""(STAT1_GOF_mutant, mimics, phosphorylated_state)""]",6,uniprotkb:Q9GZX6,23
"The protein complex containing Frizzled-4 (Q9Y5U4) requires the assembly of FZD4, G-proteins, and Norrin for canonical Wnt signaling. In a cell line with a Norrin loss-of-function mutation and overexpression of constitutively active Gαq (Q12770), what is the net effect on Wnt signaling output?",Signaling output remains low,"1. Frizzled-4 (FZD4) is activated by Norrin binding. 2. Activated FZD4 recruits and activates G-proteins, including Gαq. 3. Active Gαq transmits the signal downstream. 4. The Norrin loss-of-function mutation prevents FZD4 activation. 5. Constitutively active Gαq does not require upstream activation but still depends on FZD4 being in a signaling-competent state. 6. Without Norrin binding, FZD4 remains inactive and cannot form the signaling complex. 7. Therefore, the constitutively active Gαq cannot bypass the requirement for FZD4 activation, leaving signaling output low.","[""(Norrin, activates, FZD4)"", ""(FZD4, interacts_with, Gαq)"", ""(Gαq, transmits_signal, downstream)"", ""(Norrin_mutant, loss_of_function, Norrin)"", ""(Gαq_active_mutant, constitutively_active, Gαq)""]",5,uniprotkb:Q9Y5U4,23
"Protein SLC1A3 (Q9Y4X5) is a glutamate transporter that interacts with the excitatory amino acid transporter EAAT3 (P43003) and the Na+/K+ ATPase subunit ATP1A3 (O14933). In a neuron with a mutation in ATP1A3 that prevents its ion-pumping function, but where SLC1A3 is overexpressed to compensate, what is the net effect on glutamate clearance from the synaptic cleft? Explain the logic step-by-step.",Reduced clearance (ineffective compensation),1. SLC1A3 requires Na+ gradient for glutamate uptake. 2. ATP1A3 generates the Na+ gradient via active transport. 3. ATP1A3 mutation disables ion-pumping → no Na+ gradient. 4. Overexpressed SLC1A3 lacks the driving force for transport. 5. Glutamate accumulates due to impaired clearance.,"[""(SLC1A3, depends_on, Na+_gradient)"", ""(ATP1A3, generates, Na+_gradient)"", ""(ATP1A3_mutant, loses, ion_pumping_function)"", ""(SLC1A3_overexpression, cannot_compensate, without_Na+_gradient)""]",4,uniprotkb:Q9Y4X5,23
"Protein P04618 (NPM) interacts with multiple partners including Q14974 (NMI), P43487 (PIAS1), O14980 (UBE2I), and P62826 (RANGAP1). In a scenario where UBE2I is mutated to be constitutively active and RANGAP1 is overexpressed, but PIAS1 carries a dominant-negative mutation that disrupts its SUMOylation function, what is the net effect on the SUMOylation of NPM? Explain the logic considering the interactions.",Reduced SUMOylation,"1. UBE2I (SUMO-conjugating enzyme) is required for SUMOylation of substrates like NPM. Its constitutive activation would normally enhance SUMOylation. 2. RANGAP1 facilitates SUMOylation by forming a complex with UBE2I. Overexpression should promote this process. 3. However, PIAS1 acts as a SUMO E3 ligase, which is essential for efficient SUMOylation of NPM. 4. A dominant-negative mutation in PIAS1 poisons the SUMOylation machinery, preventing functional E3 activity even if UBE2I and RANGAP1 are hyperactive. 5. Since SUMOylation requires all components (UBE2I, RANGAP1, and PIAS1) to function together, the defective PIAS1 acts as a bottleneck, overriding the positive effects of UBE2I and RANGAP1. Thus, net SUMOylation of NPM is reduced.","[""(UBE2I, conjugates_SUMO_to, NPM)"", ""(RANGAP1, forms_complex_with, UBE2I)"", ""(PIAS1, acts_as_E3_ligase_for, NPM_SUMOylation)"", ""(PIAS1_dominant_negative, disrupts, SUMOylation_function)"", ""(UBE2I_constitutive_active, enhances, SUMOylation_potential)"", ""(RANGAP1_overexpression, promotes, SUMOylation)""]",6,uniprotkb:P04618,23
"Protein O15357 (IL3RA) is part of the IL3 receptor complex, which includes IL3 (P08700) and common beta chain (P32927). A mutant IL3RA with a defective extracellular domain fails to bind IL3. If cells express this mutant IL3RA along with wild-type IL3RA and the common beta chain, what is the expected outcome on JAK2 (P29353) phosphorylation and downstream STAT5 (Q01344) activation? Explain the molecular basis.",No STAT5 activation,"1. IL3 binds to IL3RA's extracellular domain, forming a complex with the common beta chain. 2. This dimerization brings JAK2 (associated with the common beta chain) into proximity for trans-phosphorylation. 3. Phosphorylated JAK2 then phosphorylates STAT5, leading to its activation. 4. The mutant IL3RA cannot bind IL3, so it cannot participate in forming the active receptor complex. 5. Even if wild-type IL3RA is present, the mutant acts as a dominant negative by competing for the common beta chain but failing to transmit the signal. 6. Without a functional complex, JAK2 remains unphosphorylated and STAT5 is not activated.","[""(IL3, binds, IL3RA)"", ""(IL3RA, interacts_with, common_beta_chain)"", ""(common_beta_chain, binds, JAK2)"", ""(JAK2, phosphorylates, STAT5)"", ""(mutant_IL3RA, defective_binding, IL3)"", ""(mutant_IL3RA, competes_for, common_beta_chain)""]",6,uniprotkb:O15357,23
"Protein MYC (P01106) interacts with MAX (P61244) to form a heterodimer that binds E-box elements and activates transcription. In a cell line expressing wild-type MYC and MAX, a mutant form of MAX (MAX-DN) is introduced that cannot bind DNA but still dimerizes with MYC. What is the effect on MYC-mediated transcription, and why?",Transcriptional activation is inhibited,"1. MYC requires dimerization with MAX to bind DNA and activate transcription. 2. MAX-DN retains the ability to dimerize with MYC but cannot bind DNA. 3. Therefore, MYC:MAX-DN heterodimers form but are unable to engage E-box elements. 4. This acts as a dominant-negative (poison subunit) because MYC is sequestered in non-functional complexes. 5. Wild-type MYC:MAX heterodimers decrease due to competition, further reducing functional DNA-binding activity.","[""(MYC, dimerizes_with, MAX)"", ""(MYC:MAX_heterodimer, binds, E-box)"", ""(MYC:MAX_heterodimer, activates, transcription)"", ""(MAX-DN, dimerizes_with, MYC)"", ""(MAX-DN, cannot_bind, DNA)"", ""(MYC:MAX-DN_heterodimer, cannot_bind, E-box)""]",6,uniprotkb:P01106,23
"The protein OPN1SW (Q96RR1) forms a complex with RGS9 (Q9UHN1), RGS9BP (P54098), and GTP (ChEBI:18420) to regulate phototransduction in cones. In a mutant cell line where RGS9BP is knocked out, but OPN1SW and RGS9 are overexpressed, what is the expected effect on the photoresponse recovery time after light exposure, and why?",Slower Recovery,"1. OPN1SW (a cone opsin) activates transducin upon light stimulation, initiating phototransduction. 2. RGS9, in complex with RGS9BP and GTP, acts as a GTPase-activating protein (GAP) to accelerate GTP hydrolysis by transducin. 3. This terminates the photoresponse and enables recovery. 4. Knocking out RGS9BP destabilizes the RGS9 complex. 5. Without RGS9BP, RGS9 cannot efficiently localize to the membrane or stabilize its GAP activity. 6. Overexpression of OPN1SW and RGS9 cannot compensate for the loss of RGS9BP scaffolding function. 7. Consequently, transducin remains GTP-bound longer, prolonging the photoresponse and slowing recovery.","[""(OPN1SW, activates, transducin)"", ""(RGS9, forms_complex_with, RGS9BP)"", ""(RGS9, forms_complex_with, GTP)"", ""(RGS9_complex, accelerates_GTPase, transducin)"", ""(RGS9BP_knockout, destabilizes, RGS9_complex)"", ""(RGS9_overexpression, insufficient, without_RGS9BP)"", ""(transducin_GTP, prolongs, photoresponse)""]",7,uniprotkb:Q96RR1,23
"In a signaling pathway, NFKB1 (Q04864) forms the NF-kappa-B complex with RELA (P19838). The complex is inhibited by I-kappa-B proteins (NFKBIA, P25963; NFKBIB, Q15653; NFKBIE, O00221). When cells are treated with a proteasome inhibitor that prevents I-kappa-B degradation, but a mutant form of RELA (RELA-DN) that cannot bind I-kappa-B is overexpressed, what is the outcome for NF-kappa-B nuclear translocation and why?",NF-kappa-B translocates to the nucleus (active),"1. Normally, I-kappa-B proteins bind and sequester NF-kappa-B (NFKB1:RELA) in the cytoplasm. 2. Signal-induced degradation of I-kappa-B releases NF-kappa-B, allowing nuclear translocation. 3. A proteasome inhibitor blocks I-kappa-B degradation, keeping NF-kappa-B inactive. 4. The RELA-DN mutant cannot bind I-kappa-B. 5. Overexpression of RELA-DN forms mutant NF-kappa-B complexes that are insensitive to I-kappa-B inhibition. 6. Therefore, even with blocked degradation, the mutant complexes translocate to the nucleus and activate transcription.","[""(NFKB1, forms_complex_with, RELA)"", ""(I-kappa-B, inhibits, NF-kappa-B_complex)"", ""(Proteasome_inhibitor, blocks, I-kappa-B_degradation)"", ""(RELA-DN_mutant, cannot_bind, I-kappa-B)"", ""(NF-kappa-B_mutant_complex, translocates_to, nucleus)""]",6,uniprotkb:Q04864,23
"Protein TRADD (P21580) interacts with FADD (Q9Y4K3) in multiple pathways including TNF signaling. In a cell line expressing wild-type TRADD and FADD, TNF stimulation leads to caspase-8 activation and apoptosis. If a mutation in TRADD weakens its interaction with FADD, but FADD is overexpressed to compensate, what is the most likely effect on apoptosis induction upon TNF stimulation?",Apoptosis fails despite FADD overexpression,"1. TRADD recruits FADD to form the death-inducing signaling complex (DISC) in TNF signaling. 2. FADD then recruits caspase-8, leading to its activation and apoptosis. 3. The TRADD mutation weakens TRADD–FADD interaction, disrupting DISC assembly. 4. Overexpressing FADD cannot restore the interaction because the defect is in TRADD's binding interface. 5. Without functional TRADD–FADD interaction, caspase-8 is not activated, and apoptosis fails. This demonstrates a bottleneck (AND-gate) where both functional TRADD and FADD are absolutely required.","[""(TNF, activates, TNFR1)"", ""(TNFR1, recruits, TRADD)"", ""(TRADD, interacts_with, FADD)"", ""(FADD, recruits, caspase-8)"", ""(caspase-8, activates, apoptosis)"", ""(TRADD_mutant, weakens_interaction_with, FADD)""]",6,uniprotkb:P21580,23
"In HIV-infected cells, Vpr binds to the nuclear pore complex component TPR and inhibits its function. The protein DCAF1 (O60942) interacts with both Vpr and TPR, forming a complex. If DCAF1 is knocked down but a Vpr mutant that cannot bind TPR is expressed, what is the expected effect on nuclear import, and why?",Partial Restoration (but not full),"1. Vpr normally hijacks DCAF1 to form a complex that binds and inhibits TPR. 2. TPR inhibition blocks nuclear import. 3. Knocking down DCAF1 prevents Vpr from recruiting the inhibitory complex to TPR. 4. However, the Vpr mutant cannot bind TPR directly even without DCAF1. 5. Thus, TPR function is not inhibited by either mechanism. 6. But DCAF1 knockdown may affect other cellular functions, so nuclear import is partially restored but not necessarily to full baseline levels.","[""(Vpr, binds, TPR)"", ""(Vpr, interacts_with, DCAF1)"", ""(DCAF1, interacts_with, TPR)"", ""(Vpr-DCAF1 complex, inhibits, TPR)"", ""(TPR_inhibition, blocks, nuclear_import)"", ""(Vpr_mutant, cannot_bind, TPR)"", ""(DCAF1_knockdown, prevents, complex_formation)""]",7,uniprotkb:O60942,23
"In the coagulation cascade, Factor VII (F7, uniprotkb:P13726) requires calcium ions (ChEBI:29108) to form a complex with Tissue Factor (TF, uniprotkb:P08709) on endothelial cell surfaces. A patient has a mutation in F7 that disrupts its calcium-binding site. Simultaneously, an antibody is administered that blocks TF. What is the net effect on F7-TF complex formation, and why?",No complex formation (double blockade),"1. Calcium binding is essential for F7's structural conformation to interact with TF. 2. The mutation disrupts calcium binding, preventing F7 activation even if TF is available. 3. The anti-TF antibody blocks TF's binding site for F7. 4. Thus, both the mutated F7 (defective in calcium binding) and blocked TF cannot interact. 5. This represents an AND-gate constraint: both functional F7 (with calcium) and accessible TF are required for complex formation. 6. Neither condition is met, so the complex fails to form.","[""(F7, requires, calcium_ions)"", ""(calcium_ions, binds, F7)"", ""(F7, interacts_with, TF)"", ""(TF, binds, F7)"", ""(F7_mutant, disrupts, calcium_binding_site)"", ""(anti_TF_antibody, blocks, TF_binding_site)""]",6,uniprotkb:P13726,23
